Model,F1 (micro),F1 (macro),F1 (samples),Precision,Recall,Avg Overlap
Random Forest,0.11375661375661375,0.0930795831570639,0.11375661375661375,0.11375661375661375,0.11375661375661375,0.6825396825396826
Xgboost,0.11375661375661375,0.10472326018615835,0.11375661375661375,0.11375661375661375,0.11375661375661375,0.6825396825396826
Logistic Regression,0.11375661375661375,0.10096252588957128,0.11375661375661374,0.11375661375661375,0.11375661375661375,0.6825396825396826
Neural Network,0.09259259259259259,0.03514854133399581,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.5555555555555556
